AED_ID,INTERSECTION_ID
318786,20632
318787,20633
318788,20633
318789,20633
318790,20633
318791,20633
318792,20633
318793,20633
318794,20633
318795,20633
318796,20633
318797,20633
318798,20633
318799,20633
318800,20633
326721,20633
326722,20634
326723,20634
326724,20635
326725,20636
326726,20637
326727,20638
326728,20638
326729,20638
326730,20638
326731,20638
326732,20638
326733,20638
326734,20639
326735,20640
326736,20641
326737,20642
326738,20642
326739,20642
326740,20639
326741,20643
326742,20644
326743,20644
326744,20644
326745,20644
326746,20645
326747,20646
326748,20647
326749,20648
326750,20648
326751,20648
326752,20648
326753,20648
326754,20648
326755,20648
326756,20648
326757,20648
326758,20648
326759,20648
326760,20648
326761,20648
326762,20648
326763,20648
326764,20648
326765,20648
326766,20648
326767,20649
326768,20649
326769,20650
326770,20651
326771,20651
326772,20651
326773,20651
326774,20651
326775,20652
326776,20653
326777,20653
326778,20653
326779,20653
326780,20653
326781,20653
326782,20653
326783,20653
326784,20653
326785,20653
326786,20653
326787,20653
326788,20653
326789,20653
326790,20653
326791,20654
326792,20655
326793,20655
326794,20653
326795,20656
326796,20657
326797,20657
326798,20657
326799,20657
326800,20657
326801,20657
326802,20657
326803,20657
326804,20658
326805,20659
326806,20660
326807,20660
326808,20660
326809,20661
326810,20661
326811,20661
326812,20661
326813,20661
326814,20661
326815,20661
326816,20661
326817,20661
326818,20662
326819,20662
326820,20662
326821,20663
326822,20664
326823,20665
326824,20665
326825,20666
326826,20667
326827,20667
326828,20668
326829,20669
326830,20670
326831,20671
326832,20672
326833,20672
326834,20672
326835,20672
326836,20672
326837,20673
326838,20674
326839,20674
326840,20674
326841,20674
326842,20674
326843,20674
326844,20674
326845,20674
326846,20674
326847,20674
326848,20674
326849,20674
326850,20674
326851,20674
326852,20674
326853,20674
326854,20674
326855,20674
326856,20674
326857,20674
326858,20674
326859,20674
326860,20674
326861,20674
326862,20674
326863,20674
326864,20674
326865,20674
326866,20674
326867,20674
326868,20674
326869,20674
326870,20675
326871,20675
326872,20675
326873,20676
326874,20676
326875,20676
326876,20676
326877,20677
326878,20677
326879,20678
326880,20679
326881,20679
326882,20679
326883,20679
326884,20680
326885,20681
326886,20681
326887,20681
326888,20681
326889,20681
326890,20682
326891,20683
326892,20683
326893,20683
326894,20683
326895,20683
326896,20684
326897,20685
326898,20685
326899,20685
326900,20685
326901,20685
326902,20686
326903,20687
326904,20688
326905,20688
326906,20689
326907,20689
326908,20689
326909,20689
326910,20690
326911,20691
326912,20692
326913,20692
326914,20693
326915,20693
326916,20693
326917,20693
326918,20694
326919,20695
326920,20696
326921,20697
326922,20697
326923,20698
326924,20698
326925,20698
326926,20698
326927,20698
326928,20698
326929,20698
326930,20698
