Patient Cost (5-AVG);;;;;;AED Cost (5-AVG);;;;;
Proximity;Path;Diff.;%;;;Proximity;Path;Diff.;%;;
141,20;48,20;93,00;65,9%;;;521,00;170,40;350,60;67,3%;;
118,80;48,20;70,60;59,4%;;;433,20;148,40;284,80;65,7%;;
216,80;94,00;122,80;56,6%;;;418,40;184,80;233,60;55,8%;;
137,60;60,80;76,80;55,8%;;;449,80;218,40;231,40;51,4%;;
144,60;71,60;73,00;50,5%;;;344,80;172,20;172,60;50,1%;;
80,20;41,40;38,80;48,4%;;;195,20;99,60;95,60;49,0%;;
64,40;35,40;29,00;45,0%;;;804,40;421,20;383,20;47,6%;;
294,40;167,00;127,40;43,3%;;;360,80;191,80;169,00;46,8%;;
411,60;235,00;176,60;42,9%;;;431,40;233,40;198,00;45,9%;;
185,00;107,60;77,40;41,8%;;;826,80;450,40;376,40;45,5%;;
397,60;232,00;165,60;41,6%;;;222,20;122,40;99,80;44,9%;;
87,40;51,00;36,40;41,6%;;;711,00;417,20;293,80;41,3%;;
195,60;116,60;79,00;40,4%;;;236,20;139,60;96,60;40,9%;;
174,00;104,80;69,20;39,8%;;;463,20;275,20;188,00;40,6%;;
344,20;209,20;135,00;39,2%;;;1082,40;643,60;438,80;40,5%;;
86,80;52,80;34,00;39,2%;;;1036,00;620,40;415,60;40,1%;;
213,60;131,00;82,60;38,7%;;;276,80;170,40;106,40;38,4%;;
166,80;104,60;62,20;37,3%;;;337,00;207,60;129,40;38,4%;;
175,60;110,20;65,40;37,2%;;;519,20;324,80;194,40;37,4%;;
98,40;62,00;36,40;37,0%;;;188,80;119,40;69,40;36,8%;;
193,60;124,00;69,60;36,0%;;;223,40;142,20;81,20;36,3%;;
169,20;108,60;60,60;35,8%;;;401,40;257,80;143,60;35,8%;;
229,80;148,00;81,80;35,6%;;;211,40;136,20;75,20;35,6%;;
229,80;148,00;81,80;35,6%;;;238,40;153,60;84,80;35,6%;;
129,40;84,40;45,00;34,8%;;;162,00;104,40;57,60;35,6%;;
501,20;329,00;172,20;34,4%;;;184,20;119,00;65,20;35,4%;;
140,20;92,60;47,60;34,0%;;;223,60;145,20;78,40;35,1%;;
415,00;282,00;133,00;32,0%;;;586,40;381,60;204,80;34,9%;;
87,80;60,00;27,80;31,7%;;;280,60;185,20;95,40;34,0%;;
419,60;286,80;132,80;31,6%;;;227,40;150,60;76,80;33,8%;;
161,40;110,60;50,80;31,5%;;;383,80;254,60;129,20;33,7%;;
152,00;104,40;47,60;31,3%;;;590,40;394,40;196,00;33,2%;;
131,80;90,60;41,20;31,3%;;;291,80;195,00;96,80;33,2%;;
325,40;224,40;101,00;31,0%;;;177,00;119,00;58,00;32,8%;;
337,20;236,20;101,00;30,0%;;;151,80;102,20;49,60;32,7%;;
109,00;76,60;32,40;29,7%;;;411,20;277,20;134,00;32,6%;;
110,80;78,20;32,60;29,4%;;;353,20;239,00;114,20;32,3%;;
111,80;79,00;32,80;29,3%;;;233,20;158,40;74,80;32,1%;;
232,80;165,60;67,20;28,9%;;;205,60;139,80;65,80;32,0%;;
75,00;53,40;21,60;28,8%;;;87,80;60,00;27,80;31,7%;;
161,20;114,80;46,40;28,8%;;;203,80;139,40;64,40;31,6%;;
97,80;70,40;27,40;28,0%;;;1063,20;727,60;335,60;31,6%;;
244,20;176,20;68,00;27,8%;;;204,60;140,40;64,20;31,4%;;
108,20;78,20;30,00;27,7%;;;162,40;111,60;50,80;31,3%;;
355,20;257,20;98,00;27,6%;;;175,20;120,40;54,80;31,3%;;
67,60;49,60;18,00;26,6%;;;305,80;210,40;95,40;31,2%;;
96,80;71,40;25,40;26,2%;;;493,20;339,80;153,40;31,1%;;
92,80;68,80;24,00;25,9%;;;201,00;138,80;62,20;30,9%;;
82,20;61,20;21,00;25,5%;;;503,00;347,40;155,60;30,9%;;
114,40;85,60;28,80;25,2%;;;235,80;163,00;72,80;30,9%;;
149,60;112,00;37,60;25,1%;;;151,80;105,00;46,80;30,8%;;
106,80;80,40;26,40;24,7%;;;477,80;331,00;146,80;30,7%;;
131,80;99,40;32,40;24,6%;;;256,00;177,40;78,60;30,7%;;
155,40;118,00;37,40;24,1%;;;580,80;402,60;178,20;30,7%;;
116,20;88,80;27,40;23,6%;;;228,00;158,20;69,80;30,6%;;
156,20;119,40;36,80;23,6%;;;488,20;339,20;149,00;30,5%;;
108,00;82,80;25,20;23,3%;;;424,00;295,40;128,60;30,3%;;
400,20;307,00;93,20;23,3%;;;317,60;221,40;96,20;30,3%;;
148,00;114,20;33,80;22,8%;;;678,40;473,60;204,80;30,2%;;
224,40;173,20;51,20;22,8%;;;345,00;241,00;104,00;30,1%;;
41,20;31,80;9,40;22,8%;;;206,80;144,60;62,20;30,1%;;
79,40;61,40;18,00;22,7%;;;148,20;103,80;44,40;30,0%;;
92,80;72,20;20,60;22,2%;;;206,20;144,60;61,60;29,9%;;
214,00;167,00;47,00;22,0%;;;484,40;341,00;143,40;29,6%;;
120,80;94,40;26,40;21,9%;;;597,80;421,00;176,80;29,6%;;
77,00;60,40;16,60;21,6%;;;220,60;155,40;65,20;29,6%;;
87,60;68,80;18,80;21,5%;;;315,00;222,00;93,00;29,5%;;
197,60;155,20;42,40;21,5%;;;1123,80;794,60;329,20;29,3%;;
104,80;82,40;22,40;21,4%;;;257,80;182,60;75,20;29,2%;;
114,40;90,80;23,60;20,6%;;;356,40;253,20;103,20;29,0%;;
114,60;91,00;23,60;20,6%;;;274,40;195,00;79,40;28,9%;;
63,40;50,40;13,00;20,5%;;;347,80;247,60;100,20;28,8%;;
91,80;73,00;18,80;20,5%;;;424,60;302,60;122,00;28,7%;;
64,20;51,20;13,00;20,2%;;;253,80;181,60;72,20;28,4%;;
80,60;64,40;16,20;20,1%;;;342,60;245,60;97,00;28,3%;;
162,60;130,00;32,60;20,0%;;;186,80;134,00;52,80;28,3%;;
173,20;138,80;34,40;19,9%;;;138,00;99,00;39,00;28,3%;;
68,60;55,00;13,60;19,8%;;;854,40;613,40;241,00;28,2%;;
90,60;72,80;17,80;19,6%;;;103,20;74,20;29,00;28,1%;;
68,80;55,40;13,40;19,5%;;;132,40;95,20;37,20;28,1%;;
93,40;75,80;17,60;18,8%;;;421,80;303,60;118,20;28,0%;;
213,00;173,00;40,00;18,8%;;;140,80;101,40;39,40;28,0%;;
101,40;82,40;19,00;18,7%;;;589,80;427,20;162,60;27,6%;;
68,60;55,80;12,80;18,7%;;;843,20;612,20;231,00;27,4%;;
322,40;262,40;60,00;18,6%;;;841,80;611,40;230,40;27,4%;;
68,60;56,00;12,60;18,4%;;;330,40;240,00;90,40;27,4%;;
188,20;153,80;34,40;18,3%;;;152,20;110,60;41,60;27,3%;;
111,00;90,80;20,20;18,2%;;;174,20;126,80;47,40;27,2%;;
90,40;74,00;16,40;18,1%;;;228,80;166,80;62,00;27,1%;;
82,40;67,60;14,80;18,0%;;;1156,40;843,80;312,60;27,0%;;
71,40;59,00;12,40;17,4%;;;171,20;125,00;46,20;27,0%;;
65,80;54,60;11,20;17,0%;;;228,20;166,80;61,40;26,9%;;
307,20;255,00;52,20;17,0%;;;400,40;293,20;107,20;26,8%;;
110,00;91,60;18,40;16,7%;;;349,20;256,20;93,00;26,6%;;
434,80;362,20;72,60;16,7%;;;349,20;256,20;93,00;26,6%;;
98,60;82,20;16,40;16,6%;;;220,20;161,80;58,40;26,5%;;
100,20;83,60;16,60;16,6%;;;365,00;268,20;96,80;26,5%;;
78,80;66,00;12,80;16,2%;;;259,60;190,80;68,80;26,5%;;
98,00;82,20;15,80;16,1%;;;498,40;366,40;132,00;26,5%;;
92,60;77,80;14,80;16,0%;;;240,60;177,00;63,60;26,4%;;
92,60;77,80;14,80;16,0%;;;1399,40;1030,00;369,40;26,4%;;
40,20;33,80;6,40;15,9%;;;444,40;327,20;117,20;26,4%;;
136,60;115,00;21,60;15,8%;;;253,60;186,80;66,80;26,3%;;
120,20;101,20;19,00;15,8%;;;365,80;269,60;96,20;26,3%;;
75,00;63,20;11,80;15,7%;;;1406,40;1037,00;369,40;26,3%;;
136,20;115,00;21,20;15,6%;;;236,60;174,60;62,00;26,2%;;
54,00;45,60;8,40;15,6%;;;235,40;173,80;61,60;26,2%;;
128,20;108,60;19,60;15,3%;;;240,80;177,80;63,00;26,2%;;
59,60;50,60;9,00;15,1%;;;140,00;103,40;36,60;26,1%;;
89,40;76,00;13,40;15,0%;;;188,00;139,00;49,00;26,1%;;
124,40;105,80;18,60;15,0%;;;148,20;109,80;38,40;25,9%;;
124,40;105,80;18,60;15,0%;;;384,00;285,00;99,00;25,8%;;
149,60;127,40;22,20;14,8%;;;148,20;110,00;38,20;25,8%;;
74,20;63,20;11,00;14,8%;;;148,20;110,00;38,20;25,8%;;
104,20;88,80;15,40;14,8%;;;183,80;136,60;47,20;25,7%;;
132,40;113,00;19,40;14,7%;;;231,60;172,20;59,40;25,6%;;
52,40;44,80;7,60;14,5%;;;798,20;594,40;203,80;25,5%;;
64,00;54,80;9,20;14,4%;;;812,80;605,40;207,40;25,5%;;
72,60;62,20;10,40;14,3%;;;225,00;167,60;57,40;25,5%;;
135,00;116,20;18,80;13,9%;;;337,40;251,40;86,00;25,5%;;
117,80;101,40;16,40;13,9%;;;381,60;284,40;97,20;25,5%;;
53,20;45,80;7,40;13,9%;;;217,40;162,40;55,00;25,3%;;
113,80;98,00;15,80;13,9%;;;233,20;174,40;58,80;25,2%;;
72,40;62,40;10,00;13,8%;;;178,60;133,60;45,00;25,2%;;
330,80;285,20;45,60;13,8%;;;195,80;146,60;49,20;25,1%;;
100,40;86,80;13,60;13,5%;;;585,40;438,80;146,60;25,0%;;
149,80;129,80;20,00;13,4%;;;109,60;82,20;27,40;25,0%;;
149,80;129,80;20,00;13,4%;;;145,00;108,80;36,20;25,0%;;
73,60;63,80;9,80;13,3%;;;121,80;91,40;30,40;25,0%;;
77,00;66,80;10,20;13,2%;;;135,00;101,40;33,60;24,9%;;
192,60;167,20;25,40;13,2%;;;162,80;122,40;40,40;24,8%;;
346,60;301,00;45,60;13,2%;;;106,80;80,40;26,40;24,7%;;
76,40;66,40;10,00;13,1%;;;168,40;126,80;41,60;24,7%;;
55,20;48,00;7,20;13,0%;;;367,60;276,80;90,80;24,7%;;
60,80;53,00;7,80;12,8%;;;607,60;457,80;149,80;24,7%;;
31,20;27,20;4,00;12,8%;;;187,00;141,00;46,00;24,6%;;
126,80;110,60;16,20;12,8%;;;170,00;128,20;41,80;24,6%;;
172,20;150,20;22,00;12,8%;;;282,60;213,20;69,40;24,6%;;
106,60;93,00;13,60;12,8%;;;202,80;153,00;49,80;24,6%;;
112,20;98,00;14,20;12,7%;;;322,00;243,00;79,00;24,5%;;
111,20;97,20;14,00;12,6%;;;868,80;656,60;212,20;24,4%;;
54,40;47,60;6,80;12,5%;;;172,80;130,60;42,20;24,4%;;
56,40;49,40;7,00;12,4%;;;163,40;123,60;39,80;24,4%;;
107,20;94,00;13,20;12,3%;;;352,60;266,80;85,80;24,3%;;
52,20;45,80;6,40;12,3%;;;184,60;139,80;44,80;24,3%;;
109,40;96,00;13,40;12,2%;;;150,00;113,60;36,40;24,3%;;
99,20;87,20;12,00;12,1%;;;254,00;192,60;61,40;24,2%;;
61,20;53,80;7,40;12,1%;;;245,20;186,00;59,20;24,1%;;
92,80;81,60;11,20;12,1%;;;266,80;202,40;64,40;24,1%;;
65,20;57,40;7,80;12,0%;;;431,00;327,00;104,00;24,1%;;
216,20;190,40;25,80;11,9%;;;232,20;176,40;55,80;24,0%;;
77,20;68,00;9,20;11,9%;;;230,40;175,20;55,20;24,0%;;
106,60;94,00;12,60;11,8%;;;306,80;233,80;73,00;23,8%;;
86,40;76,20;10,20;11,8%;;;289,80;221,00;68,80;23,7%;;
61,40;54,20;7,20;11,7%;;;289,80;221,00;68,80;23,7%;;
103,20;91,20;12,00;11,6%;;;209,00;159,40;49,60;23,7%;;
70,60;62,40;8,20;11,6%;;;333,80;256,00;77,80;23,3%;;
93,60;82,80;10,80;11,5%;;;145,20;111,40;33,80;23,3%;;
74,60;66,00;8,60;11,5%;;;257,00;197,20;59,80;23,3%;;
83,60;74,00;9,60;11,5%;;;314,00;241,00;73,00;23,2%;;
85,40;75,60;9,80;11,5%;;;618,00;474,80;143,20;23,2%;;
135,00;119,60;15,40;11,4%;;;165,00;126,80;38,20;23,2%;;
59,80;53,00;6,80;11,4%;;;202,20;155,40;46,80;23,1%;;
79,40;70,40;9,00;11,3%;;;243,60;187,40;56,20;23,1%;;
159,00;141,00;18,00;11,3%;;;364,40;280,40;84,00;23,1%;;
65,40;58,00;7,40;11,3%;;;120,00;92,40;27,60;23,0%;;
83,40;74,00;9,40;11,3%;;;156,80;120,80;36,00;23,0%;;
87,20;77,40;9,80;11,2%;;;347,80;268,00;79,80;22,9%;;
83,20;74,00;9,20;11,1%;;;138,60;106,80;31,80;22,9%;;
89,20;79,40;9,80;11,0%;;;197,20;152,00;45,20;22,9%;;
102,80;91,60;11,20;10,9%;;;104,80;80,80;24,00;22,9%;;
77,60;69,20;8,40;10,8%;;;219,60;169,40;50,20;22,9%;;
92,40;82,40;10,00;10,8%;;;237,20;183,00;54,20;22,8%;;
42,80;38,20;4,60;10,7%;;;171,40;132,60;38,80;22,6%;;
111,80;100,00;11,80;10,6%;;;300,40;232,40;68,00;22,6%;;
130,80;117,00;13,80;10,6%;;;314,00;243,00;71,00;22,6%;;
130,80;117,00;13,80;10,6%;;;183,20;141,80;41,40;22,6%;;
85,60;76,60;9,00;10,5%;;;155,00;120,00;35,00;22,6%;;
115,40;103,40;12,00;10,4%;;;134,20;104,00;30,20;22,5%;;
115,40;103,40;12,00;10,4%;;;134,20;104,00;30,20;22,5%;;
83,40;74,80;8,60;10,3%;;;128,20;99,40;28,80;22,5%;;
42,80;38,40;4,40;10,3%;;;323,20;250,60;72,60;22,5%;;
89,80;80,60;9,20;10,2%;;;647,40;502,00;145,40;22,5%;;
164,20;147,60;16,60;10,1%;;;222,00;172,40;49,60;22,3%;;
73,80;66,40;7,40;10,0%;;;259,60;201,60;58,00;22,3%;;
300,60;270,80;29,80;9,9%;;;140,60;109,20;31,40;22,3%;;
97,40;87,80;9,60;9,9%;;;363,00;282,20;80,80;22,3%;;
95,80;86,40;9,40;9,8%;;;202,40;157,40;45,00;22,2%;;
95,20;86,00;9,20;9,7%;;;533,40;415,00;118,40;22,2%;;
80,80;73,00;7,80;9,7%;;;363,40;283,60;79,80;22,0%;;
39,40;35,60;3,80;9,6%;;;308,40;240,80;67,60;21,9%;;
402,00;363,80;38,20;9,5%;;;139,80;109,20;30,60;21,9%;;
123,40;111,80;11,60;9,4%;;;157,40;123,00;34,40;21,9%;;
73,20;66,40;6,80;9,3%;;;299,60;234,20;65,40;21,8%;;
64,60;58,60;6,00;9,3%;;;151,20;118,20;33,00;21,8%;;
58,20;52,80;5,40;9,3%;;;284,20;222,20;62,00;21,8%;;
138,40;125,60;12,80;9,2%;;;177,00;138,40;38,60;21,8%;;
54,40;49,40;5,00;9,2%;;;161,60;126,40;35,20;21,8%;;
139,60;126,80;12,80;9,2%;;;305,40;239,00;66,40;21,7%;;
301,20;273,60;27,60;9,2%;;;214,40;167,80;46,60;21,7%;;
134,60;122,40;12,20;9,1%;;;204,60;160,40;44,20;21,6%;;
123,00;112,00;11,00;8,9%;;;471,60;369,80;101,80;21,6%;;
80,60;73,40;7,20;8,9%;;;171,00;134,20;36,80;21,5%;;
90,20;82,20;8,00;8,9%;;;360,60;283,00;77,60;21,5%;;
61,00;55,60;5,40;8,9%;;;360,60;283,00;77,60;21,5%;;
84,60;77,20;7,40;8,7%;;;205,80;161,60;44,20;21,5%;;
91,80;83,80;8,00;8,7%;;;151,60;119,40;32,20;21,2%;;
83,00;75,80;7,20;8,7%;;;222,40;175,20;47,20;21,2%;;
69,40;63,40;6,00;8,6%;;;762,20;600,80;161,40;21,2%;;
55,60;50,80;4,80;8,6%;;;237,20;187,00;50,20;21,2%;;
301,00;275,20;25,80;8,6%;;;483,20;381,00;102,20;21,2%;;
70,40;64,40;6,00;8,5%;;;467,40;369,00;98,40;21,1%;;
56,80;52,00;4,80;8,5%;;;713,20;563,20;150,00;21,0%;;
47,60;43,60;4,00;8,4%;;;256,80;202,80;54,00;21,0%;;
69,60;63,80;5,80;8,3%;;;296,00;233,80;62,20;21,0%;;
160,80;147,40;13,40;8,3%;;;245,60;194,00;51,60;21,0%;;
67,20;61,60;5,60;8,3%;;;132,00;104,40;27,60;20,9%;;
38,60;35,40;3,20;8,3%;;;194,20;153,60;40,60;20,9%;;
87,00;79,80;7,20;8,3%;;;320,00;253,20;66,80;20,9%;;
55,60;51,00;4,60;8,3%;;;266,00;210,80;55,20;20,8%;;
75,00;68,80;6,20;8,3%;;;320,20;253,80;66,40;20,7%;;
82,40;75,60;6,80;8,3%;;;265,40;210,40;55,00;20,7%;;
75,60;69,40;6,20;8,2%;;;205,60;163,00;42,60;20,7%;;
120,00;110,20;9,80;8,2%;;;105,40;83,60;21,80;20,7%;;
91,20;83,80;7,40;8,1%;;;259,20;205,60;53,60;20,7%;;
143,40;131,80;11,60;8,1%;;;1046,60;830,20;216,40;20,7%;;
69,40;63,80;5,60;8,1%;;;1046,60;830,20;216,40;20,7%;;
